Field name,Type [1]_,Format,Description
ram:ContentCode,O,string, Code NET_WEIGHT
ram:Content,O,string, Net mass
**ram:ApplicableNote** (з кодом NET_WEIGHT),,, Net weight (the end of the block)
**ram:ApplicableNote** (з кодом RTP_QUANTITY),O,, Quantity of transport packaging (block start)
ram:ContentCode,O,string, Code RTP_QUANTITY
ram:Content,O,string, Quantity of transport packaging (used to account for turnover packaging)
**ram:ApplicableNote** (з кодом RTP_QUANTITY),,, Quantity of transport packaging (the end of the block)
**ram:IncludedSupplyChainConsignmentItem**,,, Cargo information (the end of the block)
**ram:DeliveryInstructions**,O,, Type of transportation (block start)
ram:Description,O,string,"Description (type of work of the carrier: by unit rate, by hourly rate, by kilometer rate, centralized transportation, etc.)"
ram:DescriptionCode,O,string, Code (TRANSPORTATION_TYPE)
**ram:DeliveryInstructions**,,, Type of transportation (the end of the block)
**AdjustedSupplyChainConsignment**,,, Table of adjustments (the end of the block)
InitiatorNotes,M,string, Brief or full description of the reasons for drafting the act (Customer)
ConsignorNotes,O,string, Special notes / Information regarding disagreement with the contents of the Act (Consignor)
CarrierNotes,O,string, Special notes / Information regarding disagreement with the contents of the Act (Carrier)
ConsigneeNotes,O,string, Special notes / Information regarding disagreement with the content of the Act (Consignee)
**AdjustmentActPayload**,,, Information about the Act (the end of the block)
**CertifyingPartyPayload**,M,,Information about responsible persons (block start)
**ram:CertifyingTradeParty** (RoleCode=ОВ),M,, Information about the responsible persons of the Customer (block start)
**ram:ID**,O,, Identification code - RNTAC of the Customer (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the driver (the end of the block)
ram:Name,M,string, Position of the Customer
ram:RoleCode,M,string, Participant role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the Customer
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=ОВ),,, Information about the responsible persons of the Customer (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CZ),M,, Information of responsible persons of the Consignor (block start)
**ram:ID**,O,, Identification code - RNTAC of the consignor (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,,Identification code - RNTAC of the Consignor (the end of the block)
ram:Name,M,string, Position of Consignor
ram:RoleCode,M,string,Participant role (Consignor - CZ). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Full name of the consignor
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CZ),,, Information of responsible persons of the Consignor (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),M,, Information about the Carrier (block start)
**ram:ID**,O,, Identification code - RNTAC of the Carrier (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the Carrier (the end of the block)
ram:Name,M,string, Carrier position
ram:RoleCode,M,string, Participant role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the Carrier
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CA),,, Information about the Carrier (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CN),O,,Information about the responsible persons of the Consignee (block start)
**ram:ID**,O,, Identification code - RNTAC of the responsible person of the Consignee (block start)
schemeAgencyID,O,string, RNTAC
value,O,decimal, Value
**ram:ID**,,, Identification code - RNTAC of the responsible person of the Consignee (the end of the block)
ram:Name,M,string, The position of the responsible person of the Consignee
ram:RoleCode,M,string, Participant role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
**ram:DefinedTradeContact**,M,, Contacts of the responsible representative (block start)
ram:PersonName,M,string, Name of the responsible person of the Consignee
**ram:DefinedTradeContact**,,, Contacts of the responsible representative (the end of the block)
**ram:CertifyingTradeParty** (RoleCode=CN),,, Information about the responsible persons of the Consignee (the end of the block)
**CertifyingPartyPayload**,,, Information about responsible persons (the end of the block)
**ACT**,,, (end of document content)
**UaSignatureStorage**,M,, Signatures (block start)
**VisualReferencedDocument**,O,, Graphic display of the document (block start)
ram:TypeCode,O,string,Type (916 - Act). `Document code directory <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit#gid=723047960>`__
ram:Remarks,O,string, Graphic representation of Act in base64
**VisualReferencedDocument**,,, Graphic display of the document (the end of the block)
**Signature** (SigningPartyRoleCode=OB),M,, QES of the Customer (block start)
SigningPartyRoleCode,M,string, Signatory role (Customer - OB). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of the signatory (Customer)
Position,O,string, Position of signatory (Customer)
**ram:SpecifiedTaxRegistration**,M,, Customer identification code (block start)
ram:ID,M,string, RNTAC of the signatory (Customer)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Customer (the end of the block)
**Signature** (SigningPartyRoleCode=OB),,, QES of the Customer (the end of the block)
**Signature** (SigningPartyRoleCode=CZ),M,, QES of the Consignor (block start)
SigningPartyRoleCode,O,string,Signatory role (Consignor - CZ). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,O,string, Signature (base64 signature p7s)
Name,O,string, Name of the signatory (responsible person of the Consignor)
Position,O,string, Position of the signatory (responsible person of the Consignor)
**ram:SpecifiedTaxRegistration**,O,, Identification code of the responsible person of the Consignor (block start)
ram:ID,O,string, RNTAC of the signatory (responsible person of the Consignor)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Consignor (the end of the block)
**Signature** (SigningPartyRoleCode=CZ),,, QES of the Consignor (the end of the block)
**Signature** (SigningPartyRoleCode=CA),M,, QES of the Carrier (block start)
SigningPartyRoleCode,M,string,Signatory role (Carrier - CA). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,M,string, Signature (base64 signature p7s)
Name,M,string, Name of signatory (Carrier)
Position,O,string, Position of signatory (Carrier)
**ram:SpecifiedTaxRegistration**,M,, Identification code of the Carrier (block start)
ram:ID,M,string, RNTAC of the signatory (Carrier)
**ram:SpecifiedTaxRegistration**,,, Identification code of the Carrier (the end of the block)
**Signature** (SigningPartyRoleCode=CA),,, QES of the Carrier (the end of the block)
**Signature** (SigningPartyRoleCode=CN),M,, QES of the Consignee (block start)
SigningPartyRoleCode,O,string, Signatory role (Consignee - CN). `Role Handbook <https://docs.google.com/spreadsheets/d/1DTHZKlXo1klqBP_DfiUnaDq1teIeNk1gpMlapN2ZKb4/edit?pli=1#gid=112300961>`__
PartySignature,O,string, Signature (base64 signature p7s)
Name,O,string, Name of the signatory (responsible person of the Consignee)
Position,O,string, Position of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,O,,Identification code of the responsible person of the Consignee (block start)
ram:ID,O,string, RNTAC of the signatory (responsible person of the Consignee)
**ram:SpecifiedTaxRegistration**,,, Identification code of the responsible person of the Consignee (the end of the block)
**Signature** (SigningPartyRoleCode=CN),,, QES of the Consignee (the end of the block)
**UaSignatureStorage**,,, Signatures (the end of the block)
**UAECMR_ACT**,,, (end of the document)
